method,game,iter,reward
brute,airstriker,0,180
brute,airstriker,1,200
brute,airstriker,2,260
brute,airstriker,3,280
brute,airstriker,4,200
brute,airstriker,5,280
brute,airstriker,6,360
brute,airstriker,7,180
brute,airstriker,8,200
brute,airstriker,9,260
brute,airstriker,10,160
brute,airstriker,11,280
brute,airstriker,12,120
brute,airstriker,13,180
brute,airstriker,14,220
brute,airstriker,15,180
brute,airstriker,16,180
brute,airstriker,17,120
brute,airstriker,18,360
brute,airstriker,19,260
brute,airstriker,20,280
brute,airstriker,21,360
brute,airstriker,22,360
brute,airstriker,23,200
brute,airstriker,24,300
brute,airstriker,25,360
brute,airstriker,26,180
brute,airstriker,27,180
brute,airstriker,28,360
brute,airstriker,29,240
brute,airstriker,30,180
brute,airstriker,31,320
brute,airstriker,32,360
brute,airstriker,33,360
brute,airstriker,34,300
brute,airstriker,35,300
brute,airstriker,36,360
brute,airstriker,37,220
brute,airstriker,38,360
brute,airstriker,39,160
brute,airstriker,40,360
brute,airstriker,41,360
brute,airstriker,42,260
brute,airstriker,43,360
brute,airstriker,44,360
brute,airstriker,45,360
brute,airstriker,46,300
brute,airstriker,47,360
brute,airstriker,48,360
brute,airstriker,49,360
brute,airstriker,50,360
brute,airstriker,51,360
brute,airstriker,52,220
brute,airstriker,53,360
brute,airstriker,54,160
brute,airstriker,55,300
brute,airstriker,56,360
brute,airstriker,57,340
brute,airstriker,58,280
brute,airstriker,59,220
brute,airstriker,60,360
brute,airstriker,61,360
brute,airstriker,62,360
brute,airstriker,63,320
brute,airstriker,64,360
brute,airstriker,65,360
brute,airstriker,66,360
brute,airstriker,67,360
brute,airstriker,68,260
brute,airstriker,69,340
brute,airstriker,70,360
brute,airstriker,71,240
brute,airstriker,72,180
brute,airstriker,73,360
brute,airstriker,74,360
brute,airstriker,75,360
brute,airstriker,76,360
brute,airstriker,77,360
brute,airstriker,78,360
brute,airstriker,79,360
brute,airstriker,80,360
brute,airstriker,81,360
brute,airstriker,82,360
brute,airstriker,83,360
brute,airstriker,84,360
brute,airstriker,85,360
brute,airstriker,86,360
brute,airstriker,87,260
brute,airstriker,88,360
brute,airstriker,89,360
brute,airstriker,90,360
brute,airstriker,91,360
brute,airstriker,92,340
brute,airstriker,93,240
brute,airstriker,94,360
brute,airstriker,95,220
brute,airstriker,96,360
brute,airstriker,97,360
brute,airstriker,98,360
brute,airstriker,99,360
brute,airstriker,100,360
brute,airstriker,101,360
brute,airstriker,102,360
brute,airstriker,103,360
brute,airstriker,104,360
brute,airstriker,105,360
brute,airstriker,106,360
brute,airstriker,107,160
brute,airstriker,108,360
brute,airstriker,109,360
brute,airstriker,110,360
brute,airstriker,111,360
brute,airstriker,112,360
brute,airstriker,113,320
brute,airstriker,114,360
brute,airstriker,115,360
brute,airstriker,116,340
brute,airstriker,117,360
brute,airstriker,118,360
brute,airstriker,119,320
brute,airstriker,120,220
brute,airstriker,121,360
brute,airstriker,122,340
brute,airstriker,123,360
brute,airstriker,124,360
brute,airstriker,125,360
brute,airstriker,126,160
brute,airstriker,127,360
brute,airstriker,128,360
brute,airstriker,129,300
brute,airstriker,130,220
brute,airstriker,131,140
brute,airstriker,132,300
brute,airstriker,133,360
brute,airstriker,134,360
brute,airstriker,135,360
brute,airstriker,136,320
brute,airstriker,137,300
brute,airstriker,138,360
brute,airstriker,139,180
brute,airstriker,140,360
brute,airstriker,141,360
brute,airstriker,142,360
brute,airstriker,143,360
brute,airstriker,144,360
brute,airstriker,145,360
brute,airstriker,146,160
brute,airstriker,147,360
brute,airstriker,148,360
brute,airstriker,149,240
brute,airstriker,150,360
brute,airstriker,151,360
brute,airstriker,152,360
brute,airstriker,153,360
brute,airstriker,154,280
brute,airstriker,155,220
brute,airstriker,156,360
brute,airstriker,157,360
brute,airstriker,158,360
brute,airstriker,159,360
brute,airstriker,160,300
brute,airstriker,161,280
brute,airstriker,162,360
brute,airstriker,163,360
brute,airstriker,164,360
brute,airstriker,165,360
brute,airstriker,166,360
brute,airstriker,167,360
brute,airstriker,168,360
brute,airstriker,169,360
brute,airstriker,170,200
brute,airstriker,171,360
brute,airstriker,172,360
brute,airstriker,173,360
brute,airstriker,174,260
brute,airstriker,175,360
brute,airstriker,176,240
brute,airstriker,177,320
brute,airstriker,178,320
brute,airstriker,179,360
brute,airstriker,180,360
brute,airstriker,181,360
